Constituency_No,Year,Position,Sex,Party,Votes,Age,Candidate_Type,Constituency_Name,Constituency_Type,Vote_Share_Percentage,Margin,Margin_Percentage,Incumbent
31,2019,2,m,VBA,75752,62.0,gen,AKOLA EAST,GEN,39.18,66219,34.25,False
31,2019,3,m,INC,9533,59.0,gen,AKOLA EAST,GEN,4.93,7152,3.7,False
32,2019,1,m,BJP,59527,42.0,sc,MURTIJAPUR,SC,33.92,1910,1.09,True
32,2019,2,f,VBA,57617,52.0,sc,MURTIJAPUR,SC,32.84,16462,9.38,False
32,2019,3,m,NCP,41155,46.0,sc,MURTIJAPUR,SC,23.45,32391,18.46,False
33,2019,1,m,INC,69875,33.0,gen,RISOD,GEN,34.02,2141,1.04,False
33,2019,2,m,IND,67734,70.0,gen,RISOD,GEN,32.97,33259,16.19,False
33,2019,3,m,VBA,34475,54.0,gen,RISOD,GEN,16.78,11400,5.55,False
34,2019,1,m,BJP,66159,62.0,sc,WASHIM,SC,32.0,13695,6.62,True
34,2019,2,m,VBA,52464,44.0,sc,WASHIM,SC,25.38,7057,3.41,False
34,2019,3,m,IND,45407,51.0,sc,WASHIM,SC,21.96,14691,7.11,False
35,2019,1,m,BJP,73205,55.0,gen,KARANJA,GEN,39.29,22724,12.19,True
35,2019,2,m,NCP,50481,66.0,gen,KARANJA,GEN,27.09,8574,4.6,False
35,2019,3,m,BSP,41907,44.0,gen,KARANJA,GEN,22.49,29414,15.78,False
36,2019,1,m,BJP,90832,41.0,gen,DHAMAMGAON RAILWAY,GEN,43.29,9519,4.54,False
36,2019,2,m,INC,81313,56.0,gen,DHAMAMGAON RAILWAY,GEN,38.75,57534,27.42,True
36,2019,3,m,VBA,23779,39.0,gen,DHAMAMGAON RAILWAY,GEN,11.33,21111,10.06,False
37,2019,1,m,IND,90460,40.0,gen,BADNERA,GEN,48.46,15541,8.33,True
37,2019,2,f,SHS,74919,43.0,gen,BADNERA,GEN,40.14,66714,35.74,False
37,2019,3,m,VBA,8205,49.0,sc,BADNERA,GEN,4.4,4465,2.39,False
38,2019,1,f,INC,82581,56.0,gen,AMRAVATI,GEN,47.81,18268,10.58,False
38,2019,2,m,BJP,64313,61.0,gen,AMRAVATI,GEN,37.23,47210,27.33,True
38,2019,3,m,VBA,17103,43.0,gen,AMRAVATI,GEN,9.9,15159,8.78,False
39,2019,1,f,INC,76218,45.0,gen,TEOSA,GEN,43.89,10361,5.97,False
39,2019,2,m,SHS,65857,49.0,gen,TEOSA,GEN,37.92,51504,29.66,False
39,2019,3,m,VBA,14353,41.0,sc,TEOSA,GEN,8.26,3755,2.16,False
40,2019,1,m,INC,95889,52.0,sc,DARYAPUR,SC,50.38,30519,16.03,False
40,2019,2,m,BJP,65370,64.0,sc,DARYAPUR,SC,34.34,46941,24.66,True
40,2019,3,f,IND,18429,49.0,sc,DARYAPUR,SC,9.68,13817,7.26,False
41,2019,1,m,PHJSP,84569,57.0,st,MELGHAT,ST,46.48,41362,22.73,False
41,2019,2,m,BJP,43207,50.0,st,MELGHAT,ST,23.75,7344,4.04,False
41,2019,3,m,NCP,35863,56.0,st,MELGHAT,ST,19.71,26955,14.82,False
42,2019,1,m,PHJSP,81252,49.0,gen,ACHALPUR,GEN,43.88,8396,4.53,False
42,2019,2,m,INC,72856,57.0,gen,ACHALPUR,GEN,39.35,57792,31.21,False
42,2019,3,f,SHS,15064,40.0,gen,ACHALPUR,GEN,8.14,8735,4.72,False
43,2019,1,m,SWP,96152,30.0,gen,MORSHI,GEN,50.09,9791,5.1,False
43,2019,2,m,BJP,86361,59.0,gen,MORSHI,GEN,44.99,83732,43.62,True
43,2019,3,m,BSP,2629,38.0,sc,MORSHI,GEN,1.37,855,0.45,False
44,2019,1,m,BJP,87318,65.0,gen,ARVI,GEN,49.35,12467,7.05,False
44,2019,2,m,INC,74851,46.0,gen,ARVI,GEN,42.31,68820,38.9,True
44,2019,3,m,IND,6031,42.0,st,ARVI,GEN,3.41,3183,1.8,False
45,2019,1,m,INC,75345,55.0,gen,DEOLI,GEN,43.05,35804,20.46,True
45,2019,2,m,IND,39541,54.0,gen,DEOLI,GEN,22.59,8563,4.89,False
45,2019,3,m,SHS,30978,40.0,gen,DEOLI,GEN,17.7,22654,12.94,False
46,2019,1,m,BJP,103585,51.0,gen,HINGANGHAT,GEN,53.83,50455,26.22,True
46,2019,2,m,NCP,53130,59.0,gen,HINGANGHAT,GEN,27.61,40507,21.05,False
46,2019,3,m,IND,12623,57.0,gen,HINGANGHAT,GEN,6.56,5813,3.02,False
47,2019,1,m,BJP,79739,42.0,gen,WARDHA,GEN,47.08,7933,4.68,True
47,2019,2,m,INC,71806,50.0,gen,WARDHA,GEN,42.4,65423,38.63,False
47,2019,3,m,VBA,6383,51.0,gen,WARDHA,GEN,3.77,2110,1.25,False
48,2019,1,m,NCP,96842,69.0,gen,KATOL,GEN,50.96,17057,8.98,False
48,2019,2,m,BJP,79785,60.0,gen,KATOL,GEN,41.99,73978,38.93,False
48,2019,3,m,VBA,5807,43.0,gen,KATOL,GEN,3.06,3803,2.0,False
49,2019,1,m,INC,113184,58.0,gen,SAVNER,GEN,53.47,26291,12.42,True
49,2019,2,m,BJP,86893,60.0,gen,SAVNER,GEN,41.05,82512,38.98,False
49,2019,3,f,BSP,4381,26.0,sc,SAVNER,GEN,2.07,842,0.4,False
50,2019,1,m,BJP,121305,41.0,gen,HINGNA,GEN,53.47,46167,20.35,True
50,2019,2,m,NCP,75138,61.0,gen,HINGNA,GEN,33.12,59767,26.34,False
50,2019,3,m,VBA,15371,36.0,gen,HINGNA,GEN,6.78,6051,2.67,False
51,2019,1,m,INC,91968,49.0,sc,UMRED,SC,46.53,18029,9.12,False
51,2019,2,m,BJP,73939,50.0,sc,UMRED,SC,37.41,55372,28.01,True
51,2019,3,m,BSP,18567,36.0,sc,UMRED,SC,9.39,12636,6.39,False
52,2019,1,m,BJP,109237,49.0,gen,NAGPUR SOUTH WEST,GEN,56.86,49344,25.68,True
52,2019,2,m,INC,59893,45.0,gen,NAGPUR SOUTH WEST,GEN,31.18,51072,26.58,True
52,2019,3,m,VBA,8821,58.0,sc,NAGPUR SOUTH WEST,GEN,4.59,1175,0.61,False
53,2019,1,m,BJP,84339,51.0,gen,NAGPUR SOUTH,GEN,43.62,4013,2.08,False
53,2019,2,m,INC,80326,55.0,gen,NAGPUR SOUTH,GEN,41.54,74658,38.61,False
53,2019,3,m,BSP,5668,48.0,sc,NAGPUR SOUTH,GEN,2.93,85,0.04,False
54,2019,1,m,BJP,103992,60.0,gen,NAGPUR EAST,GEN,52.35,24017,12.09,True
54,2019,2,m,INC,79975,43.0,gen,NAGPUR EAST,GEN,40.26,74691,37.6,False
54,2019,3,m,BSP,5284,45.0,sc,NAGPUR EAST,GEN,2.66,946,0.48,False
55,2019,1,m,BJP,75692,57.0,gen,NAGPUR CENTRAL,GEN,46.37,4008,2.46,True
55,2019,2,m,INC,71684,37.0,gen,NAGPUR CENTRAL,GEN,43.91,63119,38.67,False
55,2019,3,m,AIMIM,8565,51.0,gen,NAGPUR CENTRAL,GEN,5.25,6416,3.93,False
56,2019,1,m,INC,83252,53.0,gen,NAGPUR WEST,GEN,46.65,6367,3.57,False
56,2019,2,m,BJP,76885,64.0,gen,NAGPUR WEST,GEN,43.08,68458,38.36,True
56,2019,3,m,BSP,8427,47.0,gen,NAGPUR WEST,GEN,4.72,4710,2.64,False
57,2019,1,m,INC,86821,67.0,sc,NAGPUR NORTH,SC,44.35,20694,10.57,False
57,2019,2,m,BJP,66127,61.0,sc,NAGPUR NORTH,SC,33.78,42794,21.86,True
57,2019,3,m,BSP,23333,47.0,sc,NAGPUR NORTH,SC,11.92,14015,7.16,False
58,2019,1,m,BJP,118182,51.0,gen,KAMTHI,GEN,45.58,11116,4.29,False
58,2019,2,m,INC,107066,57.0,gen,KAMTHI,GEN,41.29,96465,37.2,False
58,2019,3,m,VBA,10601,54.0,gen,KAMTHI,GEN,4.09,2256,0.87,False
59,2019,1,m,IND,67419,48.0,gen,RAMTEK,GEN,36.54,24413,13.23,False
59,2019,2,m,BJP,43006,57.0,gen,RAMTEK,GEN,23.31,10509,5.69,True
59,2019,3,m,INC,32497,41.0,gen,RAMTEK,GEN,17.61,7762,4.21,False
60,2019,1,m,NCP,87190,48.0,gen,TUMSAR,GEN,40.55,7700,3.58,False
60,2019,2,m,IND,79490,47.0,gen,TUMSAR,GEN,36.97,46033,21.41,True
60,2019,3,m,BJP,33457,49.0,gen,TUMSAR,GEN,15.56,29942,13.93,False
61,2019,1,m,IND,101717,40.0,sc,BHANDARA,SC,43.44,23677,10.11,False
61,2019,2,m,BJP,78040,54.0,sc,BHANDARA,SC,33.33,58935,25.17,False
61,2019,3,m,INC,19105,36.0,sc,BHANDARA,SC,8.16,9227,3.94,False
62,2019,1,m,INC,95208,57.0,gen,SAKOLI,GEN,41.63,6240,2.73,False
62,2019,2,m,BJP,88968,38.0,gen,SAKOLI,GEN,38.9,54532,23.84,False
62,2019,3,m,VBA,34436,53.0,gen,SAKOLI,GEN,15.06,30786,13.46,False
63,2019,1,m,NCP,72400,64.0,sc,ARJUNI-MORGAON,SC,41.07,718,0.41,False
63,2019,2,m,BJP,71682,57.0,sc,ARJUNI-MORGAON,SC,40.67,46103,26.15,True
63,2019,3,m,VBA,25579,44.0,sc,ARJUNI-MORGAON,SC,14.51,23161,13.14,False
64,2019,1,m,BJP,76482,51.0,gen,TIRORA,GEN,45.18,25963,15.34,True
64,2019,2,m,NCP,50519,43.0,gen,TIRORA,GEN,29.84,17336,10.24,False
64,2019,3,m,IND,33183,55.0,sc,TIRORA,GEN,19.6,30658,18.11,False
65,2019,1,m,IND,102996,50.0,gen,GONDIYA,GEN,49.19,27169,12.98,False
65,2019,2,m,BJP,75827,69.0,gen,GONDIYA,GEN,36.21,66889,31.95,True
65,2019,3,m,INC,8938,47.0,gen,GONDIYA,GEN,4.27,3692,1.76,False
66,2019,1,m,INC,88265,49.0,st,AMGAON,ST,48.16,7420,4.05,False
66,2019,2,m,BJP,80845,47.0,st,AMGAON,ST,44.12,77299,42.18,True
66,2019,3,m,IND,3546,67.0,st,AMGAON,ST,1.93,397,0.22,False
67,2019,1,m,BJP,75077,51.0,st,ARMORI,ST,41.42,21667,11.95,True
67,2019,2,m,INC,53410,51.0,st,ARMORI,ST,29.46,28383,15.66,False
67,2019,3,m,IND,25027,50.0,st,ARMORI,ST,13.81,17462,9.63,False
68,2019,1,m,BJP,97913,51.0,st,GADCHIROLI,ST,49.88,35341,18.0,True
68,2019,2,f,INC,62572,35.0,st,GADCHIROLI,ST,31.88,55837,28.45,False
68,2019,3,m,VBA,6735,49.0,st,GADCHIROLI,ST,3.43,2736,1.39,False
69,2019,1,m,NCP,60013,65.0,st,AHERI,ST,36.07,15458,9.29,False
69,2019,2,m,BJP,44555,33.0,st,AHERI,ST,26.78,1533,0.92,True
69,2019,3,m,INC,43022,47.0,st,AHERI,ST,25.86,37257,22.4,False
70,2019,1,m,INC,60228,68.0,gen,RAJURA,GEN,26.79,2501,1.11,False
70,2019,2,m,STBP,57727,67.0,gen,RAJURA,GEN,25.67,6676,2.97,False
70,2019,3,m,BJP,51051,60.0,gen,RAJURA,GEN,22.7,7745,3.44,True
71,2019,1,m,IND,117570,51.0,sc,CHANDRAPUR,SC,57.96,72661,35.82,False
71,2019,2,m,BJP,44909,70.0,sc,CHANDRAPUR,SC,22.14,29506,14.55,True
71,2019,3,m,VBA,15403,48.0,sc,CHANDRAPUR,SC,7.59,1119,0.55,False
72,2019,1,m,BJP,86002,57.0,gen,BALLARPUR,GEN,42.9,33240,16.58,True
72,2019,2,m,INC,52762,48.0,gen,BALLARPUR,GEN,26.32,12804,6.39,False
72,2019,3,m,VBA,39958,41.0,sc,BALLARPUR,GEN,19.93,26033,12.99,False
73,2019,1,m,INC,96726,56.0,gen,BRAHMAPURI,GEN,50.0,18549,9.59,True
73,2019,2,m,SHS,78177,53.0,gen,BRAHMAPURI,GEN,40.41,70569,36.48,False
73,2019,3,m,VBA,7608,64.0,gen,BRAHMAPURI,GEN,3.93,4012,2.07,False
74,2019,1,m,BJP,87146,37.0,gen,CHIMUR,GEN,41.94,9752,4.69,True
74,2019,2,m,INC,77394,49.0,gen,CHIMUR,GEN,37.25,52920,25.47,False
74,2019,3,m,VBA,24474,44.0,st,CHIMUR,GEN,11.78,13135,6.32,False
75,2019,1,f,INC,63862,33.0,gen,WARORA,GEN,34.4,10197,5.49,False
75,2019,2,m,SHS,53665,56.0,gen,WARORA,GEN,28.91,18817,10.14,False
75,2019,3,m,MNS,34848,62.0,gen,WARORA,GEN,18.77,23506,12.66,False
76,2019,1,m,BJP,67710,55.0,gen,WANI,GEN,32.38,27795,13.29,True
76,2019,2,m,INC,39915,71.0,gen,WANI,GEN,19.09,14870,7.11,False
76,2019,3,m,IND,25045,55.0,gen,WANI,GEN,11.98,8930,4.27,False
77,2019,1,m,BJP,90823,55.0,st,RALEGAON,ST,45.95,9875,5.0,False
77,2019,2,m,INC,80948,63.0,st,RALEGAON,ST,40.95,70243,35.53,False
77,2019,3,m,VBA,10705,48.0,st,RALEGAON,ST,5.42,7335,3.71,False
78,2019,1,m,BJP,80425,56.0,gen,YAVATMAL,GEN,37.28,2253,1.04,True
78,2019,2,m,INC,78172,60.0,gen,YAVATMAL,GEN,36.24,39827,18.46,False
78,2019,3,m,IND,38345,48.0,gen,YAVATMAL,GEN,17.78,30415,14.1,False
79,2019,1,m,SHS,136824,48.0,gen,DIGRAS,GEN,60.6,63607,28.17,True
79,2019,2,m,IND,73217,51.0,gen,DIGRAS,GEN,32.43,67012,29.68,False
79,2019,3,m,NCP,6205,42.0,gen,DIGRAS,GEN,2.75,3128,1.39,False
80,2019,1,m,BJP,81599,52.0,st,ARNI,ST,38.62,3153,1.49,False
80,2019,2,m,INC,78446,74.0,st,ARNI,ST,37.13,51497,24.37,False
80,2019,3,m,IND,26949,44.0,st,ARNI,ST,12.75,14642,6.93,True
81,2019,1,m,NCP,89143,37.0,gen,PUSAD,GEN,47.05,9701,5.12,False
81,2019,2,m,BJP,79442,56.0,gen,PUSAD,GEN,41.93,68187,35.99,False
81,2019,3,m,VBA,11255,40.0,st,PUSAD,GEN,5.94,9102,4.8,False
82,2019,1,m,BJP,87337,47.0,sc,UMARKHED,SC,44.4,9287,4.72,False
82,2019,2,m,INC,78050,63.0,sc,UMARKHED,SC,39.68,59802,30.4,False
82,2019,3,m,IND,18248,60.0,sc,UMARKHED,SC,9.28,11815,6.01,False
83,2019,1,m,BJP,89628,52.0,st,KINWAT,GEN,48.56,13272,7.19,False
83,2019,2,m,NCP,76356,65.0,gen,KINWAT,GEN,41.37,64592,35.0,True
83,2019,3,m,VBA,11764,37.0,st,KINWAT,GEN,6.37,10723,5.81,False
84,2019,1,m,INC,74325,47.0,gen,HADGAON,GEN,37.96,13363,6.82,False
84,2019,2,m,IND,60962,51.0,gen,HADGAON,GEN,31.13,16819,8.59,False
84,2019,3,m,SHS,44143,47.0,gen,HADGAON,GEN,22.55,33287,17.0,True
85,2019,1,m,INC,140559,60.0,gen,BHOKAR,GEN,67.78,97445,46.99,False
85,2019,2,m,BJP,43114,70.0,gen,BHOKAR,GEN,20.79,25301,12.2,False
85,2019,3,m,VBA,17813,36.0,gen,BHOKAR,GEN,8.59,15744,7.59,False
86,2019,1,m,SHS,62884,39.0,gen,NANDED NORTH,GEN,33.18,12106,6.39,False
86,2019,2,m,INC,50778,60.0,gen,NANDED NORTH,GEN,26.8,8886,4.69,True
86,2019,3,m,AIMIM,41892,44.0,gen,NANDED NORTH,GEN,22.11,15323,8.09,False
87,2019,1,m,INC,46943,56.0,gen,NANDED SOUTH,GEN,25.68,3592,1.96,False
87,2019,2,m,IND,43351,57.0,gen,NANDED SOUTH,GEN,23.71,6285,3.44,False
87,2019,3,f,SHS,37066,47.0,gen,NANDED SOUTH,GEN,20.28,10353,5.66,False
88,2019,1,m,PWPI,101668,64.0,gen,LOHA,GEN,52.76,64362,33.4,False
88,2019,2,m,VBA,37306,42.0,gen,LOHA,GEN,19.36,6341,3.29,False
88,2019,3,m,SHS,30965,48.0,gen,LOHA,GEN,16.07,16448,8.54,False
89,2019,1,m,BJP,117750,47.0,gen,NAIGAON,GEN,56.07,54384,25.9,False
89,2019,2,m,INC,63366,64.0,gen,NAIGAON,GEN,30.17,40361,19.22,True
89,2019,3,m,VBA,23005,53.0,gen,NAIGAON,GEN,10.95,21784,10.37,False
90,2019,1,m,INC,89407,62.0,sc,DEGLUR,SC,50.19,22433,12.59,False
90,2019,2,m,SHS,66974,49.0,sc,DEGLUR,SC,37.6,54917,30.83,True
90,2019,3,m,VBA,12057,43.0,sc,DEGLUR,SC,6.77,8534,4.79,False
91,2019,1,m,BJP,102573,40.0,gen,MUKHED,GEN,55.14,31863,17.13,False
91,2019,2,m,INC,70710,49.0,gen,MUKHED,GEN,38.01,61954,33.31,False
91,2019,3,m,VBA,8756,50.0,gen,MUKHED,GEN,4.71,7073,3.8,False
92,2019,1,m,NCP,75321,38.0,gen,BASMATH,GEN,34.59,8251,3.79,False
92,2019,2,m,IND,67070,58.0,gen,BASMATH,GEN,30.8,25513,11.72,False
92,2019,3,m,SHS,41557,69.0,gen,BASMATH,GEN,19.09,16160,7.42,True
93,2019,1,m,SHS,82515,39.0,gen,KALAMNURI,GEN,39.04,16378,7.75,False
93,2019,2,m,VBA,66137,44.0,gen,KALAMNURI,GEN,31.29,8593,4.07,False
93,2019,3,m,INC,57544,43.0,st,KALAMNURI,GEN,27.23,56297,26.64,True
94,2019,1,m,BJP,95318,58.0,gen,HINGOLI,GEN,47.58,24065,12.01,True
94,2019,2,m,INC,71253,63.0,gen,HINGOLI,GEN,35.57,51397,25.66,False
94,2019,3,m,VBA,19856,35.0,gen,HINGOLI,GEN,9.91,15210,7.59,False
95,2019,1,f,BJP,116913,39.0,gen,JINTUR,GEN,45.46,3717,1.45,False
95,2019,2,m,NCP,113196,45.0,gen,JINTUR,GEN,44.02,100024,38.9,True
95,2019,3,m,VBA,13172,41.0,sc,JINTUR,GEN,5.12,8445,3.28,False
96,2019,1,m,SHS,104584,44.0,gen,PARBHANI,GEN,54.4,81790,42.54,True
96,2019,2,m,VBA,22794,43.0,gen,PARBHANI,GEN,11.86,53,0.03,False
96,2019,3,m,AIMIM,22741,36.0,gen,PARBHANI,GEN,11.83,4310,2.24,False
97,2019,1,m,RSPS,81169,61.0,gen,GANGAKHED,GEN,30.07,18058,6.69,False
97,2019,2,m,SHS,63111,38.0,gen,GANGAKHED,GEN,23.38,10864,4.02,False
97,2019,3,m,IND,52247,78.0,sc,GANGAKHED,GEN,19.36,23410,8.67,False
98,2019,1,m,INC,105625,68.0,gen,PATHRI,GEN,44.69,14774,6.25,False
98,2019,2,m,BJP,90851,43.0,gen,PATHRI,GEN,38.44,69107,29.24,True
98,2019,3,m,VBA,21744,42.0,gen,PATHRI,GEN,9.2,13193,5.58,False
99,2019,1,m,BJP,106321,60.0,gen,PARTUR,GEN,52.21,25942,12.74,True
