Paragraph,cleaned_text
"The Aheri constituency in Gadchiroli district will witness a heated battle between Mr. Atram, a four-time sitting MLA and NCP Minister, and his daughter. In fact, it’s a triangular fight among the Atrams of the Aheri royal family, with the sitting MLA’s nephew, former BJP Minister Ambrishrao Atram, throwing his hat in the ring as an independent candidate. At a public rally, Mr. Dharmarao Baba Atram asked voters to throw his daughter, Ms. Atram-Halgekar and son-in-law Ritural Halgekar in the Pranhita river for treachery, alleging that she is not trustworthy. His daughter had an impassioned response: “When my father was abducted in 1991 by Naxalites, it was Sharad Pawar who made his release safe and possible. I am paying gratitude for saving my father’s life by joining the NCP [SP].”  ",aheri constituency gadchiroli district witness heated battle mr atram fourtime sitting mla ncp minister daughter fact triangular fight among atrams aheri royal family sitting mlas nephew former bjp minister ambrishrao atram throwing hat ring independent candidate public rally mr dharmarao baba atram asked voter throw daughter m atramhalgekar soninlaw ritural halgekar pranhita river treachery alleging trustworthy daughter impassioned response father abducted naxalites sharad pawar made release safe possible paying gratitude saving father life joining ncp sp
"In Nanded, Mr. Chikhalikar — a former BJP MP who lost the Lok Sabha election earlier this year — is continuing his extensive record of party-hopping, and has joined the NCP in time for the State Assembly election. His brother-in-law, Mr. Shinde of the Peasant and Workers Party, won the previous assembly election with Mr. Chikhalikar’s support. This time around, however, they are set to clash, in a fight that originated during the Agricultural Produce Market Committee election, where they heavily opposed each other.  ",nanded mr chikhalikar former bjp mp lost lok sabha election earlier year continuing extensive record partyhopping joined ncp time state assembly election brotherinlaw mr shinde peasant worker party previous assembly election mr chikhalikars support time around however set clash fight originated agricultural produce market committee election heavily opposed
"In Buldhana’s Sindhkhedraja constituency, Mr. Ajit Pawar’s once-trusted aide and five-term legislator Mr. Shingne has joined the NCP (SP). Now he must face his niece, who is on the other side of the NCP divide.",buldhanas sindhkhedraja constituency mr ajit pawars oncetrusted aide fiveterm legislator mr shingne joined ncp sp must face niece side ncp divide
"In Nashik’s Chandwad constituency, the BJP’s Dr. Rahul Aher is contesting against his brother who has decided to run as a rebel independent candidate.",nashiks chandwad constituency bjps dr rahul aher contesting brother decided run rebel independent candidate
"The Maharashtra Assembly election will take place in a single phase on November 20, while the counting of votes is slated to be held on November 23. ",maharashtra assembly election take place single phase november counting vote slated held november
" Published - November 01, 2024 08:51 pm IST",published november pm ist
"
                        Maharashtra Assembly Elections 2024
                    
                            /                      
                        
                        Maharashtra
                    
                            /                      
                        
                        Indian National Congress
                    
                            /                      
                        
                        Shiv Sena-Uddhav Balasaheb Thackeray
                    
                            /                      
                        
                        Shiv Sena
                    
                            /                      
                        
                        Nationalist Congress Party
                    ",maharashtra assembly election maharashtra indian national congress shiv senauddhav balasaheb thackeray shiv sena nationalist congress party
"
					Copyright© 2024, THG PUBLISHING PVT LTD. or its affiliated companies. All rights reserved.
				",copyright thg publishing pvt ltd affiliated company right reserved
BACK TO TOP,back top
Terms & conditions  |  Institutional Subscriber,term condition institutional subscriber
"Comments have to be in English, and in full sentences. They cannot be abusive or personal. Please abide by our community guidelines   for posting your comments. ",comment english full sentence abusive personal please abide community guideline posting comment
"We have migrated to a new commenting platform. If you are already a registered user of The Hindu and logged in, you may continue to engage with our articles. If you do not have an account please register and login to post comments. Users can access their older comments by logging into their accounts on Vuukle.",migrated new commenting platform already registered user hindu logged may continue engage article account please register login post comment user access older comment logging account vuukle
"The dynasts dominate the candidate lists of every major party in contention for the November 20 Maharashtra Assembly elections, with both the incumbent Mahayuti and the Opposition Maha Vikas Aghadi (MVA) coalitions fielding many nominees belonging to influential political families across the state.",dynast dominate candidate list every major party contention november maharashtra assembly election incumbent mahayuti opposition maha vikas aghadi mva coalition fielding many nominee belonging influential political family across state
"While the Mahayuti comprises the BJP, Chief Minister Eknath Shinde-headed Shiv Sena and Ajit Pawar-led NCP, the MVA consists of the Congress, Uddhav Thackeray-led Shiv Sena (UBT) and Sharad Pawar-led NCP (SP).",mahayuti comprises bjp chief minister eknath shindeheaded shiv sena ajit pawarled ncp mva consists congress uddhav thackerayled shiv sena ubt sharad pawarled ncp sp
"In the Mahayuti camp, of the state’s 288 Assembly seats, the BJP has fielded 152 candidates, the Shinde Sena 78 and the Ajit NCP 52. From the MVA, the Congress has put up 104 candidates, the Uddhav Sena 96 and the Pawar Sena 87.",mahayuti camp state assembly seat bjp fielded candidate shinde sena ajit ncp mva congress put candidate uddhav sena pawar sena
There is a slew of debutants in the fray who belong to various influential political families in the state.,slew debutants fray belong various influential political family state
"While the BJP, Congress, and NCP (SP) have each fielded at least 9 first-timer dynasts, the Shinde Sena, Uddhav Sena and NCP have fielded at least 8, 5 and one such faces respectively.",bjp congress ncp sp fielded least firsttimer dynast shinde sena uddhav sena ncp fielded least one face respectively
Former CM and Congress leader Ashok Chavan switched to the BJP earlier this year and is now a Rajya Sabha MP. The BJP has fielded his daughter Sreejaya Chavan from his Bhokar constituency in Nanded district.,former cm congress leader ashok chavan switched bjp earlier year rajya sabha mp bjp fielded daughter sreejaya chavan bhokar constituency nanded district
"In Pune’s Chinchwad seat, the BJP has nominated former party MLA late Laxman Jagtap’s brother Shankar Jagtap. Amol Jawale, son of late BJP MLA Haribhau Jawale, has been nominated from the Raver seat in Jalgaon.",punes chinchwad seat bjp nominated former party mla late laxman jagtaps brother shankar jagtap amol jawale son late bjp mla haribhau jawale nominated raver seat jalgaon
"In Shrigonda seat in Ahliyanagar, the BJP has nominated Pratibha Pachpute, wife of sitting party MLA Babanrao Pachpute. The BJP’s Mumbai president Ashish Shelar’s brother Vinod Shelar, former corporator, has been given the ticket from Malad seat.",shrigonda seat ahliyanagar bjp nominated pratibha pachpute wife sitting party mla babanrao pachpute bjps mumbai president ashish shelars brother vinod shelar former corporator given ticket malad seat
"Rahul Awade, son of former minister Prakash Awade, will contest as the BJP candidate from Ichalkaranji. Sulabha Gaikwad, wife of sitting party MLA Ganpat Gaikwad, will contest on the party ticket from his Kalyan East constituency. Ganpat is serving a jail term for firing at a worker of the Shinde Sena.",rahul awade son former minister prakash awade contest bjp candidate ichalkaranji sulabha gaikwad wife sitting party mla ganpat gaikwad contest party ticket kalyan east constituency ganpat serving jail term firing worker shinde sena
"In Karanja, the BJP has fielded former MLA late Prakash Dahake’s wife Sai Dahake. In Latur city, the party
has given ticket to Archana Patil-Chakurkar, daughter-in-law of Congress stalwart Shivraj Patil.",karanja bjp fielded former mla late prakash dahakes wife sai dahake latur city party given ticket archana patilchakurkar daughterinlaw congress stalwart shivraj patil
"The Shinde Sena has allotted poll tickets to several debutants who are from the families of its prominent leaders. In Paithan, the party has fielded Vilas Bhumare, son of MP Sandipan Bhumre, who was earlier a minister in the Shinde Cabinet.",shinde sena allotted poll ticket several debutants family prominent leader paithan party fielded vila bhumare son mp sandipan bhumre earlier minister shinde cabinet
"In the Jogeshwari east seat, the Shinde Sena has nominated Manisha Waikar, wife of Ravindra Waikar who won the Mumbai North West parliamentary seat in the recent Lok Sabha elections.",jogeshwari east seat shinde sena nominated manisha waikar wife ravindra waikar mumbai north west parliamentary seat recent lok sabha election
"The party gave ticket to Kiran Samant from the Rajapur seat, who is the brother of minister Uday Samant.",party gave ticket kiran samant rajapur seat brother minister uday samant
"It fielded Abhijit Adsul, son of former MP Anand Adsul, from the Daryapur seat.",fielded abhijit adsul son former mp anand adsul daryapur seat
"The Shinde Sena fielded Suhas Babar, son of late legislator Anil Babar, from the Khanapur seat in Sangli district. Anil Babar passed in January this year.",shinde sena fielded suhas babar son late legislator anil babar khanapur seat sangli district anil babar passed january year
Sitting Sena MLA Chimanrao Patil’s son Amol got the party ticket from his Erandol Assembly seat.,sitting sena mla chimanrao patils son amol got party ticket erandol assembly seat
"The BJP’s Nilesh Rane, son of former CM and Union minister Naryan Rane, joined the Shinde Sena last",bjps nilesh rane son former cm union minister naryan rane joined shinde sena last
week to contest on its ticket from the Kudal-Sawantwadi Assembly seat as part of the Mahayuti’s “internal arrangement”. This is Nilesh’s maiden Assembly election although he has been a former MP.,week contest ticket kudalsawantwadi assembly seat part mahayutis internal arrangement nileshs maiden assembly election although former mp
"Similarly, BJP leader and former Union minister Raosaheb Danve’s daughter Sanjana Jadhav has also been given the Sena ticket from the Kannad seat.",similarly bjp leader former union minister raosaheb danves daughter sanjana jadhav also given sena ticket kannad seat
The Ajit Pawar NCP has given ticket to former minister Nawab Malik’s daughter Sana from his Anushakti Nagar seat in Mumbai Suburban. Malik will himself contest from the Mankhurd-Shivaji Nagar constituency in the belt.,ajit pawar ncp given ticket former minister nawab malik daughter sana anushakti nagar seat mumbai suburban malik contest mankhurdshivaji nagar constituency belt
"The Congress has given tickets to a number of first-timers belonging to various political families. In Raver in Jalgaon district, it has fielded Dhananjay Choudhari, son of Shirish Choudhari who is the sitting MLA from the constituency.",congress given ticket number firsttimers belonging various political family raver jalgaon district fielded dhananjay choudhari son shirish choudhari sitting mla constituency
"In Saoner, former MLA Sunil Kedar’s wife Anuja is fighting on the Congress’s ticket. The party has fielded its Lok Sabha MP Pratibha Dhanorkar’s brother Pravin Kakade from Chandrapur’s Warora. Former minister Shivajirao Moghe’s son Jitendra is contesting as a party candidate from Arni in Yavatmal district.",saoner former mla sunil kedars wife anuja fighting congress ticket party fielded lok sabha mp pratibha dhanorkars brother pravin kakade chandrapurs warora former minister shivajirao moghes son jitendra contesting party candidate arni yavatmal district
"In Nanded’s Naigaon, Congress candidate Minal Patil-Khatgaonkar is the daughter-in-law of former MP Bhaskarrao Patil-Khatgaonkar, while ex-MLA late Bharat Bhalke’s son Bhagirath is the party nominee from the Pandharpur seat.",nandeds naigaon congress candidate minal patilkhatgaonkar daughterinlaw former mp bhaskarrao patilkhatgaonkar exmla late bharat bhalkes son bhagirath party nominee pandharpur seat
"From Karvir seat in Kolhapur, former MLA late P N Patil’s son Rahul Patil is contesting on the Congress’s ticket while Kolhapur MP Shahu Maharaj Chhatrapati’s daughter-in-law Madhurimaraje Chhatrapati is the party candidate from Kolhapur north.",karvir seat kolhapur former mla late n patils son rahul patil contesting congress ticket kolhapur mp shahu maharaj chhatrapatis daughterinlaw madhurimaraje chhatrapati party candidate kolhapur north
Mumbai Congress chief Varsha Gaikwad’s sister Jyoti is contesting from the city’s Dharavi seat.,mumbai congress chief varsha gaikwads sister jyoti contesting city dharavi seat
"The Shiv Sena (UBT) has also given tickets to several new faces from various political families. The party has pitted Varun Sardesai, Uddhav’s nephew, from Bandra East against the NCP’s Zeeshan Siddique.",shiv sena ubt also given ticket several new face various political family party pitted varun sardesai uddhavs nephew bandra east ncps zeeshan siddique
"In CM Shinde’s constituency Kopri Majiwada in Thane district, the Sena UBT has fielded Kedar Dighe, nephew of late Sena stalwart Aanand Dighe, against him.",cm shindes constituency kopri majiwada thane district sena ubt fielded kedar dighe nephew late sena stalwart aanand dighe
"The party has nominated Advay Hiray from the Maegaon (outer) seat, who is the son of former minister Prashant Hiray and brother of ex-MLA Apurva Hiray.",party nominated advay hiray maegaon outer seat son former minister prashant hiray brother exmla apurva hiray
"The Uddhav Sena has fielded Vaishali Suryavanshi from Pachora, who is the daughter of party leader late R O Patil. After Patil’s death, his nephew Kishor had become an MLA on the undivided Sena’s ticket. Following the party’s split, Kishor sided with Shinde. Vaishali however stood by the Uddhav Sena.",uddhav sena fielded vaishali suryavanshi pachora daughter party leader late patil patils death nephew kishor become mla undivided senas ticket following party split kishor sided shinde vaishali however stood uddhav sena
"Snehal Jagtap, wife of former Congress MLA late Manikrao Jagtap, has been given the Sena (UBT) ticket from his Mahad seat.",snehal jagtap wife former congress mla late manikrao jagtap given sena ubt ticket mahad seat
The NCP(SP) has fielded party chief Sharad Pawar’s grandnephew Yugenda Pawar from the Baramati seat where he will take on his uncle Ajit Pawar.,ncpsp fielded party chief sharad pawars grandnephew yugenda pawar baramati seat take uncle ajit pawar
The Pawar NCP has nominated Ahmednagar MP Nilesh Lanke’s wife Rani from the Parner seat. Former minister R R Patil’s son Rohit Patil will contest on its ticket from the Tasgaon-Kavathemahankal constituency.,pawar ncp nominated ahmednagar mp nilesh lankes wife rani parner seat former minister r patils son rohit patil contest ticket tasgaonkavathemahankal constituency
"Party MLC Eknath Khadse’s daughter Rohini Khadse is contesting the Muktainagar seat in Jalgaon. In Washim’s Karanja seat, former BJP MLA late Rajendra Patni’s son Dyayak Patni is the NCP(SP)’s",party mlc eknath khadses daughter rohini khadse contesting muktainagar seat jalgaon washims karanja seat former bjp mla late rajendra patnis son dyayak patni ncpsps
candidate. Wardha MP Amar Kale’s wife Mayura is fighting as a party nominee from the Arvi seat.,candidate wardha mp amar kale wife mayura fighting party nominee arvi seat
Former state home minister Anil Deshmukh’s son Salil has been fielded as the NCP(SP)’s candidate from Katol in Nagpur district. The party has fielded former MLA Pappu Kalani’s son Omi from the Ulhasnagar seat.,former state home minister anil deshmukhs son salil fielded ncpsps candidate katol nagpur district party fielded former mla pappu kalanis son omi ulhasnagar seat
NCP minister Dharmrao Atram’s daughter Bhagyashri is contesting on the NCP(SP)’s ticket against her father.,ncp minister dharmrao atrams daughter bhagyashri contesting ncpsps ticket father
"The Maharashtra Navnirman Sena(MNS) has fielded party supremo Raj Thackeray’s son Amit Thackeray, 32, from the Mahim constituency, which has marked his launch into electoral politics.",maharashtra navnirman senamns fielded party supremo raj thackeray son amit thackeray mahim constituency marked launch electoral politics
"The Department of Rural Development has set up a committee to review the salaries of over 250 consultants hired on contract, following recommendations from the Indian Institute of Public Administration. The department has spent Rs 302 crore annually on consultants, some earning more than a Secretary rank officer.",department rural development set committee review salary consultant hired contract following recommendation indian institute public administration department spent r crore annually consultant earning secretary rank officer
,
,
,
,
,
This No Is Already Registered.,already registered
Thanks For Registered Mobile No.,thanks registered mobile
Web Development,web development
"Intermediate Java Mastery: Method, Collections, and Beyond",intermediate java mastery method collection beyond
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Strategy,strategy
ESG and Business Sustainability Strategy,esg business sustainability strategy
"By - Vipul Arora, Partner, ESG & Climate Solutions at Sattva Consulting Author I Speaker I Thought Leader",vipul arora partner esg climate solution sattva consulting author speaker thought leader
Finance,finance
AI and Generative AI for Finance,ai generative ai finance
"By - Hariom Tatsat, Vice President- Quantitative Analytics at Barclays",hariom tatsat vice president quantitative analytics barclays
Artificial Intelligence(AI),artificial intelligenceai
Mastering C++ Fundamentals with Generative AI: A Hands-On,mastering fundamental generative ai handson
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
Java 21 Essentials for Beginners: Build Strong Programming Foundations,java essential beginner build strong programming foundation
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Marketing,marketing
Digital Marketing Masterclass by Pam Moore,digital marketing masterclass pam moore
"By - Pam Moore, Digital Transformation and Social Media Expert",pam moore digital transformation social medium expert
Data Science,data science
SQL Server Bootcamp 2024: Transform from Beginner to Pro,sql server bootcamp transform beginner pro
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Marketing,marketing
Digital Marketing Masterclass by Neil Patel,digital marketing masterclass neil patel
"By - Neil Patel, Co-Founder and Author at Neil Patel Digital Digital Marketing Guru",neil patel cofounder author neil patel digital digital marketing guru
Artificial Intelligence(AI),artificial intelligenceai
Basics of Generative AI: Unveiling Tomorrow's Innovations,basic generative ai unveiling tomorrow innovation
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
JavaScript Essentials: Unlock AI-Driven Insights with ChatGPT,javascript essential unlock aidriven insight chatgpt
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
Master RESTful APIs with Python and Django REST Framework: Web API Development,master restful apis python django rest framework web api development
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
Advanced C++ Mastery: OOPs and Template Techniques,advanced mastery oops template technique
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Finance,finance
A2Z Of Finance: Finance Beginner Course,az finance finance beginner course
"By - elearnmarkets, Financial Education by StockEdge",elearnmarkets financial education stockedge
Web Development,web development
"Intermediate C++ Skills: Master Pointers, Structures and File Stream",intermediate skill master pointer structure file stream
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
A Comprehensive ASP.NET Core MVC 6 Project Guide for 2024,comprehensive aspnet core mvc project guide
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Artificial Intelligence(AI),artificial intelligenceai
ChatGPT Mastery from Zero to Hero: The Complete AI Course,chatgpt mastery zero hero complete ai course
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
HR,hr
Human Potential and the Future of Employment,human potential future employment
"By - Lynda Gratton, Prof. at London Business School, Speaker, Author, Global Thought Leader",lynda gratton prof london business school speaker author global thought leader
Office Productivity,office productivity
"Mastering Microsoft Office: Word, Excel, PowerPoint, and 365",mastering microsoft office word excel powerpoint
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Office Productivity,office productivity
Mastering Google Sheets: Unleash the Power of Excel and Advance Analysis,mastering google sheet unleash power excel advance analysis
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Web Development,web development
Django & PostgreSQL Mastery: Build Professional Web Applications,django postgresql mastery build professional web application
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Artificial Intelligence(AI),artificial intelligenceai
AI-Powered Python Mastery with Tabnine: Boost Your Coding Skills,aipowered python mastery tabnine boost coding skill
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
Astrology,astrology
Vastu Shastra Course,vastu shastra course
"By - Sachenkumar Rai, Vastu Shashtri",sachenkumar rai vastu shashtri
Office Productivity,office productivity
Zero to Hero in Microsoft Excel: Complete Excel guide 2024,zero hero microsoft excel complete excel guide
"By - Metla Sudha Sekhar, IT Specialist and Developer",metla sudha sekhar specialist developer
This is a modal window.,modal window
Beginning of dialog window. Escape will cancel and close the window.,beginning dialog window escape cancel close window
End of dialog window.,end dialog window
"(Catch all the Business News, Breaking News, Budget 2024 Events and Latest News Updates on The Economic Times.)",catch business news breaking news budget event latest news update economic time
Subscribe to The Economic Times Prime and read the ET ePaper online.,subscribe economic time prime read et epaper online
US Polls: Democrats' plan revealed if Trump claims premature victory,u poll democrat plan revealed trump claim premature victory
"'Our relations disturbed…,' EAM on India-China border truce",relation disturbed eam indiachina border truce
Explained: Why power transfer happens in January in US,explained power transfer happens january u
J-K: Terrorists hurl grenade at busy Srinagar market,jk terrorist hurl grenade busy srinagar market
EAM shares funny anecdote when he was favourite 'passport' guy,eam share funny anecdote favourite passport guy
Mumbai Police reveals letter threatening CM Yogi,mumbai police reveals letter threatening cm yogi
Jharkhand Polls: Shah releases party's Sankalp Patra,jharkhand poll shah release party sankalp patra
'Not going back...' Protesters march towards White House,going back protester march towards white house
"She will lead the world, will make huge difference'",lead world make huge difference
MEA blasts Canadian govt over surveillance on Indian diplomats,mea blast canadian govt surveillance indian diplomat
US Polls: Democrats' plan revealed if Trump claims premature victory,u poll democrat plan revealed trump claim premature victory
"'Our relations disturbed…,' EAM on India-China border truce",relation disturbed eam indiachina border truce
Explained: Why power transfer happens in January in US,explained power transfer happens january u
J-K: Terrorists hurl grenade at busy Srinagar market,jk terrorist hurl grenade busy srinagar market
EAM shares funny anecdote when he was favourite 'passport' guy,eam share funny anecdote favourite passport guy
Mumbai Police reveals letter threatening CM Yogi,mumbai police reveals letter threatening cm yogi
Jharkhand Polls: Shah releases party's Sankalp Patra,jharkhand poll shah release party sankalp patra
'Not going back...' Protesters march towards White House,going back protester march towards white house
"She will lead the world, will make huge difference'",lead world make huge difference
MEA blasts Canadian govt over surveillance on Indian diplomats,mea blast canadian govt surveillance indian diplomat
Hot on Web,hot web
In Case you missed it,case missed
Top Searched Companies,top searched company
Top Calculators,top calculator
Top Commodities,top commodity
Top Slideshow,top slideshow
Top Prime Articles,top prime article
Private Companies,private company
Top Story Listing,top story listing
Top Definitions,top definition
Top Market Pages,top market page
Latest News,latest news
Follow us on:,follow u
Find this comment offensive?,find comment offensive
Choose your reason below and click on the Report button. This will alert our moderators to take action,choose reason click report button alert moderator take action
Reason for reporting:,reason reporting
Your Reason has been Reported to the admin.,reason reported admin
Log In/Connect with:,log inconnect
Will be displayed,displayed
Will not be displayed,displayed
Will be displayed,displayed
Worry not. You’re just a step away.,worry youre step away
It seems like you're already an ETPrime member with,seems like youre already etprime member
Login using your ET Prime credentials to enjoy all member benefits,login using et prime credential enjoy member benefit
Log out of your current logged-in account  and log in again using your ET Prime credentials  to enjoy all member benefits.,log current loggedin account log using et prime credential enjoy member benefit
,
"To read full story, subscribe to ET Prime",read full story subscribe et prime
₹34 per week,per week
"
                    Billed annually at 
                    ₹2499 ₹1749",billed annually
Super Saver Sale - Flat 30% Off,super saver sale flat
On ET Prime Membership,et prime membership
90 Days Prime access worth Rs999 unlocked for you,day prime access worth r unlocked
